Node Number	Equivalent (von-Mises) Stress (Pa)
495	1.8858e+006
496	3.3671e+006
496	3.4954e+006
497	2.591e+006
497	3.9135e+006
498	2.2531e+006
498	5.205e+006
499	2.2619e+006
499	3.1158e+006
500	3.2125e+006
500	3.7365e+006
501	4.0604e+006
501	2.5107e+006
502	3.9285e+006
502	4.031e+006
503	1.9121e+006
503	3.0529e+006
504	3.1975e+006
504	4.1121e+006
505	8.5673e+005
505	9.8821e+005
506	1.9065e+006
506	1.9265e+006
507	4.0163e+006
507	3.453e+006
508	3.7443e+006
508	3.4624e+006
509	3.8351e+006
509	4.1337e+006
510	1.2134e+006
510	7.0947e+005
511	5.5953e+006
511	4.1083e+006
512	4.7772e+006
512	3.1515e+006
513	9.0264e+006
513	3.664e+006
514	7.5839e+006
514	4.5647e+006
515	3.2045e+006
515	5.5725e+006
516	4.2386e+006
516	3.8628e+006
517	5.8679e+006
517	3.2215e+006
518	5.2771e+006
518	3.5647e+006
519	5.444e+006
519	5.2582e+006
520	4.5845e+006
520	4.1239e+006
521	3.7406e+006
521	4.1631e+006
522	4.9957e+006
522	5.9526e+006
523	3.1214e+006
523	3.9929e+006
524	1.2721e+006
524	2.6109e+006
525	2.0084e+006
525	2.8791e+006
526	3.5794e+006
526	5.19e+006
527	3.3727e+006
527	4.8491e+006
528	2.9157e+006
528	3.2919e+006
529	2.3306e+006
529	4.7021e+006
530	2.8826e+006
530	5.9217e+006
531	4.3909e+006
531	5.208e+006
532	4.9926e+006
532	4.7422e+006
533	3.3402e+006
533	2.4904e+006
534	5.4995e+006
534	3.3379e+006
535	3.6562e+006
535	3.3002e+006
536	6.6741e+006
536	4.6693e+006
537	3.4855e+006
537	2.8972e+006
538	3.7512e+006
538	2.6448e+006
539	5.2847e+006
539	3.1839e+006
540	9.7552e+005
540	2.825e+005
541	1.0504e+006
541	1.3282e+006
542	1.2816e+006
542	1.3045e+006
543	1.4317e+006
543	1.5376e+006
544	1.1755e+006
544	1.2401e+006
545	1.4506e+006
545	2.8509e+006
546	3.8047e+006
546	4.3711e+006
547	2.2108e+006
547	2.5839e+006
548	3.2429e+006
548	4.3482e+006
549	1.9867e+006
549	1.7344e+006
550	1.6419e+006
550	1.6753e+006
551	5.1946e+005
551	1.7786e+006
552	1.9202e+006
552	2.4994e+006
553	3.9245e+006
553	3.6198e+006
554	5.8962e+006
554	2.9924e+006
555	4.2365e+006
555	3.9409e+006
556	1.2844e+006
556	2.5344e+006
557	9.5426e+005
557	1.3702e+006
558	8.9576e+005
558	1.2051e+006
559	2.7343e+006
559	1.3385e+006
560	1.5286e+006
560	3.4609e+005
561	2.8661e+006
561	1.7968e+006
562	8.2877e+005
562	2.3707e+006
563	2.3754e+005
563	7.5999e+005
564	1.7114e+006
564	2.1061e+006
565	2.0537e+006
565	2.4433e+006
566	4.6228e+006
566	2.8651e+006
567	1.2538e+006
567	7.8571e+005
568	3.8103e+006
568	3.234e+006
569	5.1833e+006
569	3.6729e+006
570	2.9077e+006
570	1.4785e+006
571	94026
571	1.7312e+005
572	1.7328e+005
572	2.0231e+005
573	1.7148e+005
573	1.8203e+005
574	46055
574	65500
575	60308
575	85126
576	54323
576	1.8976e+005
577	1.1576e+005
577	2.7647e+005
578	4.6167e+005
578	6.0221e+005
579	49633
579	3.4432e+005
580	7.022e+005
580	1.2463e+006
581	1.9577e+006
581	2.6627e+006
582	2.7037e+006
582	2.9535e+006
583	1.5805e+006
583	2.426e+006
584	1.1594e+006
584	1.1991e+006
585	8.1549e+005
585	6.8369e+005
586	1.1004e+006
586	8.6722e+005
587	1.3593e+006
587	3.8184e+005
588	7.9626e+005
588	6.4435e+005
589	1.1927e+006
589	1.1899e+006
590	1.0705e+006
590	7.1954e+005
591	8.2926e+005
591	6.6291e+005
592	1.478e+006
592	1.0951e+006
593	7.6358e+005
593	6.8859e+005
594	5.5726e+005
594	5.6782e+005
595	8.0842e+005
595	5.2494e+005
596	8.5546e+005
596	5.3663e+005
597	4.2061e+005
597	1.1111e+005
598	1.7309e+006
598	1.4638e+006
599	4.8513e+005
599	5.4572e+005
600	6.9107e+005
600	5.9821e+005
601	9.3868e+005
601	1.798e+006
602	8.0005e+005
602	9.9098e+005
603	1.2747e+006
603	1.9198e+006
604	5.3225e+005
604	8.4909e+005
605	5.3591e+005
605	8.8258e+005
606	1.6933e+006
606	1.6564e+006
607	4.7646e+005
607	5.8465e+005
608	8.1145e+005
608	4.6093e+005
609	1.0779e+006
609	7.8471e+005
610	47445
610	64692
611	3.6794e+006
611	4.906e+006
612	5.9678e+006
612	6.7243e+006
613	1.8485e+006
613	2.6779e+006
614	4.6662e+006
614	4.0035e+006
615	2.6786e+006
615	1.8916e+006
616	4.2182e+006
616	2.6998e+006
617	4.3205e+006
617	2.4962e+006
618	2.5613e+006
618	1.991e+006
619	1.5353e+006
619	1.8289e+006
620	3.1541e+006
620	4.1266e+006
621	1.9948e+006
621	2.3064e+006
622	2.2722e+006
622	4.2113e+006
623	2.4956e+006
623	3.4899e+006
624	2.2515e+006
624	1.2829e+006
625	8.7378e+005
625	6.1684e+005
626	3.9955e+006
626	3.5036e+006
627	3.7265e+006
627	1.9476e+006
628	4.9244e+006
628	3.68e+006
629	2.3439e+006
629	2.8549e+006
630	4.2652e+006
630	3.7894e+006
631	4.6232e+005
631	9.5895e+005
632	2.1014e+006
632	3.0349e+006
633	3.568e+006
633	4.077e+006
634	2.2412e+006
634	3.5033e+006
635	4.0388e+006
635	3.6031e+006
636	1.6006e+006
636	5.1051e+005
637	1.2558e+006
637	6.6855e+005
638	4.1205e+006
638	3.9496e+006
639	3.635e+006
639	3.2487e+006
640	2.1347e+006
640	2.5522e+006
641	7.495e+005
641	1.1458e+006
642	3.3617e+006
642	8.2954e+006
643	3.5263e+006
643	5.2898e+006
644	4.6436e+006
644	4.3366e+006
645	2.6134e+006
645	4.7865e+006
646	5.9554e+006
646	3.8331e+006
647	6.1083e+006
647	3.1316e+006
648	4.2117e+006
648	3.6559e+006
649	1.6788e+006
649	3.2469e+006
650	4.1303e+006
650	2.8231e+006
651	5.0143e+006
651	4.7252e+006
652	4.1439e+006
652	4.8286e+006
653	5.6525e+006
653	4.0761e+006
654	4.9118e+006
654	6.92e+006
655	6.1305e+006
655	5.8164e+006
656	3.4129e+006
656	1.8173e+006
657	5.3249e+006
657	3.234e+006
658	2.1944e+006
658	8.9397e+005
659	5.9435e+006
659	5.6519e+006
660	2.441e+006
660	4.912e+006
661	2.1916e+006
661	3.3326e+006
662	3.587e+006
662	4.9046e+006
663	4.9779e+006
663	4.5033e+006
664	5.0126e+006
664	3.8599e+006
665	0.
665	0.
666	4.0398e+006
666	1.2215e+006
667	1.316e+006
667	5.0424e+005
668	6.4735e+006
668	4.8946e+006
669	7.8281e+005
669	2.2723e+006
670	6.2265e+005
670	2.0939e+006
671	2.1647e+006
671	5.8752e+006
672	0.
672	0.
673	0.
673	0.
674	0.
674	0.
675	0.
675	0.
676	0.
676	0.
677	0.
677	0.
678	3.1065e+006
678	1.7646e+006
679	1.8748e+006
679	1.4391e+006
680	2.5324e+006
680	1.6693e+006
681	2.8688e+006
681	4.63e+006
682	1.5719e+006
682	1.3434e+006
683	2.5483e+006
683	2.9552e+006
684	0.
684	0.
685	0.
685	0.
686	0.
686	0.
687	0.
687	0.
688	0.
688	0.
689	0.
689	0.
690	0.
690	0.
691	0.
691	0.
692	0.
692	0.
693	0.
693	0.
694	0.
694	0.
695	0.
695	0.
696	0.
696	0.
697	0.
697	0.
698	0.
698	0.
699	2.5088e+005
699	5.0282e+005
700	1.8359e+006
700	1.8153e+006
701	0.
701	0.
702	12846
702	7504.7
703	0.
703	0.
704	0.
704	0.
705	0.
705	0.
706	0.
706	0.
707	7.3562e+005
707	7.224e+005
708	0.
708	0.
709	0.
709	0.
710	0.
710	0.
711	0.
711	0.
712	0.
712	0.
713	0.
713	0.
714	0.
714	0.
715	0.
715	0.
716	0.
716	0.
717	0.
717	0.
718	0.
718	0.
719	0.
719	0.
720	0.
720	0.
721	0.
721	0.
722	0.
722	0.
723	0.
723	0.
724	0.
724	0.
725	0.
725	0.
726	0.
726	0.
727	0.
727	0.
728	0.
728	0.
